class_a,class_b,auc_mean,auc_std,experiment
182135,182135,0.4999338116021826,0.003305104192936355,target
364254,364254,0.6730074365836146,0.0015885804542659697,reverse
215897,215897,0.519939453697458,0.0016981740664702802,Mus_musculus
244472,244472,0.6853306769148225,0.0012625371908217557,Arabidopsis_thaliana
94723,94723,0.7374722470548705,0.0022415268911620025,Saccharomyces_cerevisiae
46515,46515,0.7610117361575861,0.003784597893625469,Escherichia_coli
163100,163100,0.8330092205221297,0.0018456870500772045,archaea_uniprot
